customerID,User_ID,gender,Age,Region,tenure,MultipleLines,InternetService,PaymentMethod,Plan_Type,Data_Usage_GB,Call_Duration_Min,Monthly_Bill,MonthlyCharges,TotalCharges,Network_Rating,Churn
7841-TZDMQ,211,Male,42,South,2,No,DSL,Credit card (automatic),Prepaid,19.95,1197,1335.81,46,84.5,3,Yes
4195-NZGTA,212,Female,21,West,1,No phone service,DSL,Electronic check,Postpaid,26.53,366,503.43,25.25,25.25,2,No
7157-SMCFK,213,Male,27,North,61,No,No,Mailed check,Postpaid,25.83,768,331.81,19.75,1124.2,4,No
4709-LKHYG,214,Female,20,South,29,No,No,Electronic check,Prepaid,8.7,1121,1432.63,20,540.05,1,No
2504-DSHIH,215,Male,58,North,23,Yes,Fiber optic,Electronic check,Postpaid,32.46,1482,315.54,86.8,1975.85,2,No
0699-NDKJM,216,Female,62,North,57,No phone service,DSL,Bank transfer (automatic),Postpaid,2.72,1209,1994.13,58.75,3437.45,2,No
9286-BHDQG,217,Male,35,North,72,No phone service,DSL,Credit card (automatic),Prepaid,38.21,1274,448.56,45.25,3139.8,5,No
0230-WEQUW,218,Male,64,North,66,No phone service,DSL,Bank transfer (automatic),Prepaid,47.36,299,1228.87,56.6,3789.2,3,No
2040-LDIWQ,219,Male,53,South,65,Yes,DSL,Bank transfer (automatic),Prepaid,17.32,363,881.61,84.2,5324.5,3,No
6496-JDSSB,220,Female,64,North,8,No,Fiber optic,Bank transfer (automatic),Postpaid,26.1,1441,340.13,80,624.6,1,No
9408-SSNVZ,221,Female,39,North,4,No,Fiber optic,Electronic check,Prepaid,19.26,856,152.9,70.15,268.35,4,Yes
4443-EMBNA,222,Female,51,West,71,Yes,No,Bank transfer (automatic),Postpaid,0.83,1387,1283.19,24.75,1836.9,1,No
6469-MRVET,223,Male,64,South,1,No,No,Electronic check,Prepaid,19.6,1428,1632.84,20.2,20.2,2,No
0742-MOABM,224,Male,25,South,4,No,DSL,Mailed check,Prepaid,39.69,534,1699.83,50.05,179.35,2,Yes
5961-VUSRV,225,Female,57,East,12,No,No,Bank transfer (automatic),Prepaid,30,1284,1017.16,19.35,219.35,3,No
6778-JFCMK,226,Male,61,South,24,No phone service,DSL,Mailed check,Postpaid,5.51,93,1577.17,50.6,1288.75,4,No
6341-JVQGF,227,Female,36,South,31,No,DSL,Mailed check,Postpaid,42.43,620,1378.41,81.15,2545.75,5,No
2232-DMLXU,228,Female,59,East,1,No,DSL,Mailed check,Prepaid,26.79,632,1476.08,55.2,55.2,4,Yes
4811-JBUVU,229,Male,58,South,30,Yes,Fiber optic,Credit card (automatic),Prepaid,42.17,1165,1035.94,89.9,2723.15,2,No
0945-TSONX,230,Female,54,South,47,Yes,DSL,Credit card (automatic),Prepaid,29.22,1338,1303.48,85.3,4107.25,5,No
2651-ZCBXV,231,Male,23,South,54,Yes,Fiber optic,Credit card (automatic),Postpaid,28.2,944,1630.5,108,5760.65,4,No
3316-UWXUY,232,Male,43,South,50,No,Fiber optic,Credit card (automatic),Prepaid,5.71,269,855.98,93.5,4747.5,4,No
8937-RDTHP,233,Male,51,East,1,No,Fiber optic,Mailed check,Postpaid,8.78,974,1631.36,84.6,84.6,5,Yes
7083-MIOPC,234,Female,62,South,72,No,No,Credit card (automatic),Prepaid,48.62,450,1224.83,20.25,1566.9,2,No
1984-GPTEH,235,Female,23,South,29,Yes,No,Electronic check,Prepaid,11.81,1473,415.21,25.15,702,4,No
1251-KRREG,236,Male,54,East,2,Yes,DSL,Mailed check,Prepaid,48.88,776,146.9,54.4,114.1,5,Yes
0621-JFHOL,237,Female,50,West,10,No phone service,DSL,Mailed check,Prepaid,26.83,1040,789.23,29.6,299.05,2,No
9903-LYSAB,238,Male,39,North,18,Yes,Fiber optic,Electronic check,Prepaid,7.22,948,1138.72,73.15,1305.95,5,No
0094-OIFMO,239,Female,38,West,11,No,Fiber optic,Electronic check,Prepaid,5.42,907,1695.66,95,1120.3,5,Yes
9227-UAQFT,240,Male,23,East,16,No,No,Mailed check,Postpaid,10.84,853,342.22,19.75,284.35,4,No
7301-ABVAD,241,Female,23,North,72,Yes,DSL,Bank transfer (automatic),Prepaid,46.32,539,1620.39,86.6,6350.5,2,No
6614-FHDBO,242,Male,21,East,72,Yes,Fiber optic,Bank transfer (automatic),Postpaid,21,987,1739.72,109.2,7878.3,4,No
7576-ASEJU,243,Female,47,East,41,No,DSL,Credit card (automatic),Prepaid,20.07,893,386.31,74.7,3187.65,1,No
9058-HRZSV,244,Female,28,South,65,No,Fiber optic,Electronic check,Prepaid,16,1342,1718.03,94.4,6126.15,1,No
4522-AKYLR,245,Female,47,North,13,No,DSL,Electronic check,Postpaid,7.78,316,1983.76,54.8,731.3,2,No
0221-WMXNQ,246,Male,48,South,4,No,Fiber optic,Electronic check,Prepaid,24.65,103,1480.99,75.35,273.4,5,No
0303-UNCIP,247,Male,41,North,41,Yes,DSL,Mailed check,Postpaid,6.94,577,1591.06,65,2531.8,4,No
9947-OTFQU,248,Male,26,East,15,No,Fiber optic,Electronic check,Postpaid,41.86,665,1989.39,74.4,1074.3,4,Yes
0322-YINQP,249,Male,20,East,1,No,DSL,Mailed check,Prepaid,18.83,1132,1250.41,48.55,48.55,2,Yes
0959-WHOKV,250,Male,48,West,42,Yes,Fiber optic,Electronic check,Postpaid,19.05,1113,684.98,99,4298.45,2,No
4075-JFPGR,251,Female,57,North,51,No,Fiber optic,Electronic check,Postpaid,23.96,1310,1691.31,93.5,4619.55,1,No
4629-NRXKX,252,Female,54,South,2,No,Fiber optic,Electronic check,Prepaid,22.48,1004,1267.52,70.4,147.15,3,Yes
9514-JDSKI,253,Male,53,West,1,No phone service,DSL,Electronic check,Postpaid,49.75,435,1204.27,40.2,40.2,2,Yes
3282-ZISZV,254,Male,41,West,32,Yes,DSL,Credit card (automatic),Prepaid,27.5,783,581.91,83.7,2633.3,3,No
3675-YDUPJ,255,Male,48,West,10,No,No,Mailed check,Prepaid,4.87,765,1537.04,19.85,193.05,2,No
4111-BNXIF,256,Female,23,South,67,No phone service,DSL,Electronic check,Prepaid,30.54,699,255.17,59.55,4103.9,5,No
7017-VFHAY,257,Female,19,West,61,Yes,Fiber optic,Credit card (automatic),Prepaid,8,349,1856.15,115.1,7008.15,5,No
6655-LHBYW,258,Male,37,South,50,Yes,Fiber optic,Credit card (automatic),Postpaid,2.03,444,719.06,114.35,5791.1,1,No
4959-JOSRX,259,Female,45,West,2,No,DSL,Credit card (automatic),Prepaid,48.55,1280,342.77,44.6,80.55,1,Yes
5046-NUHWD,260,Female,28,South,29,No phone service,DSL,Electronic check,Prepaid,38.79,1409,940.5,45,1228.65,3,No
7273-TEFQD,261,Male,21,East,3,No phone service,DSL,Electronic check,Postpaid,49.02,642,180.69,41.15,132.2,2,Yes
3606-TWKGI,262,Male,32,East,13,Yes,Fiber optic,Electronic check,Prepaid,24.15,563,1400.79,106.9,1364.3,4,Yes
7529-ZDFXI,263,Male,23,East,57,Yes,Fiber optic,Electronic check,Prepaid,26.85,1251,1815.14,89.85,4925.35,1,No
7605-BDWDC,264,Female,47,East,31,No phone service,DSL,Bank transfer (automatic),Postpaid,8.83,445,1690.8,49.85,1520.1,4,No
1950-KSVVJ,265,Female,55,East,45,Yes,Fiber optic,Mailed check,Postpaid,12.72,420,342,113.3,5032.25,4,No
0123-CRBRT,266,Female,19,West,61,Yes,DSL,Mailed check,Postpaid,42.01,907,339.92,88.1,5526.75,2,No
6292-TOSSS,267,Male,32,West,50,Yes,No,Bank transfer (automatic),Postpaid,18.13,840,1645.53,24.9,1195.25,3,No
3197-ARFOY,268,Female,28,West,19,No,Fiber optic,Mailed check,Postpaid,41.43,707,1856.08,105,2007.25,2,No
6323-AYBRX,269,Male,25,South,59,No,No,Mailed check,Postpaid,35.6,1391,975.27,19.35,1099.6,1,Yes
7014-ZZXAW,270,Female,43,South,71,Yes,No,Credit card (automatic),Postpaid,9.27,785,1048.05,24.25,1732.95,4,No
4385-GZQXV,271,Female,62,South,16,No,Fiber optic,Electronic check,Prepaid,25.62,1442,704.7,94.45,1511.2,2,Yes
7633-MVPUY,272,Male,61,South,57,No,DSL,Electronic check,Postpaid,34.03,433,1799.1,59.75,3450.15,2,No
6366-ZGQGL,273,Male,22,East,1,No phone service,DSL,Bank transfer (automatic),Postpaid,12.13,111,1325.32,24.8,24.8,2,Yes
4716-HHKQH,274,Male,23,East,20,Yes,Fiber optic,Electronic check,Postpaid,41.62,554,647.68,107.05,2172.05,1,No
5940-AHUHD,275,Male,43,East,1,No,Fiber optic,Mailed check,Prepaid,27.47,288,667.69,70.6,70.6,3,Yes
6432-TWQLB,276,Male,21,North,5,Yes,Fiber optic,Electronic check,Prepaid,8.68,244,1793.28,85.4,401.1,2,Yes
4484-GLZOU,277,Female,36,West,52,Yes,Fiber optic,Electronic check,Postpaid,29.36,727,125.9,105.05,5624.85,1,Yes
3179-GBRWV,278,Male,37,South,21,No,DSL,Bank transfer (automatic),Postpaid,49.99,1295,713.18,64.95,1339.8,4,No
8645-KWHJO,279,Male,50,South,14,No phone service,DSL,Electronic check,Postpaid,7.95,110,1153.28,55,771.95,5,No
4130-MZLCC,280,Female,37,East,5,No,DSL,Bank transfer (automatic),Prepaid,40.93,1202,381.61,50.55,244.75,1,No
0314-TKOSI,281,Female,29,South,6,No,DSL,Mailed check,Prepaid,10.76,1039,274.99,55.15,322.9,5,No
8229-MYEJZ,282,Female,64,South,10,No,DSL,Electronic check,Postpaid,39.23,734,1649.03,51.2,498.25,2,No
2080-SRCDE,283,Female,18,West,1,Yes,No,Mailed check,Prepaid,36.86,205,1799.37,25.4,25.4,2,No
9577-WJVCQ,284,Female,43,East,68,Yes,DSL,Mailed check,Postpaid,15.37,1451,1664.85,54.45,3687.75,1,No
9512-UIBFX,285,Male,31,West,18,No,Fiber optic,Mailed check,Prepaid,16.63,972,1807.7,95.15,1779.95,5,Yes
6202-DYYFX,286,Female,55,North,22,Yes,Fiber optic,Credit card (automatic),Prepaid,39.73,917,1150.91,76,1783.6,2,No
3808-HFKDE,287,Female,54,North,20,No,DSL,Electronic check,Postpaid,23.34,952,1643.29,44.35,927.15,4,No
5583-SXDAG,288,Male,28,North,1,No,Fiber optic,Electronic check,Postpaid,36.68,1048,829.68,70,70,3,Yes
3488-PGMQJ,289,Male,53,East,8,No,Fiber optic,Electronic check,Postpaid,7.83,1024,1365.91,74.5,606.55,3,Yes
3580-REOAC,290,Male,30,South,10,No,DSL,Credit card (automatic),Postpaid,42.7,1280,1978.79,44.85,435.4,2,Yes
7534-BFESC,291,Male,60,East,24,Yes,Fiber optic,Electronic check,Prepaid,35.69,437,528.88,76.1,1712.7,5,Yes
3727-OWVYD,292,Male,20,East,35,No,DSL,Mailed check,Prepaid,45.39,936,840.81,61.2,2021.2,2,No
2294-SALNE,293,Male,50,South,23,No,Fiber optic,Mailed check,Prepaid,7.05,887,1012.09,86.8,1940.8,5,No
4847-TAJYI,294,Female,23,West,6,No,Fiber optic,Electronic check,Postpaid,29.85,1413,362.23,89.35,567.8,4,No
1563-IWQEX,295,Female,27,North,12,No,No,Mailed check,Prepaid,30.16,389,253.97,19.7,220.35,5,No
8203-XJZRC,296,Male,22,West,1,No,No,Mailed check,Postpaid,18,253,1676.47,20.25,20.25,2,No
6556-DBKZF,297,Female,40,North,71,No,Fiber optic,Electronic check,Prepaid,23.19,210,1955.91,76.05,5436.45,4,No
6851-WEFYX,298,Male,27,East,35,Yes,Fiber optic,Electronic check,Postpaid,2.38,441,868.98,100.8,3437.5,1,No
2985-JUUBZ,299,Male,61,North,40,Yes,DSL,Electronic check,Postpaid,37.42,818,266.53,74.55,3015.75,3,No
6390-DSAZX,300,Female,19,East,1,No,Fiber optic,Mailed check,Prepaid,27.69,624,225.04,73.6,73.6,2,Yes
0895-LMRSF,301,Male,30,West,23,No,DSL,Bank transfer (automatic),Postpaid,3.36,583,1793.5,64.9,1509.8,2,No
8098-LLAZX,302,Female,57,East,4,Yes,Fiber optic,Electronic check,Postpaid,34.2,1143,981.25,95.45,396.1,2,Yes
8266-VBFQL,303,Male,19,West,4,No,Fiber optic,Electronic check,Prepaid,23.61,942,708.05,90.4,356.65,4,No
8181-YHCMF,304,Female,37,South,68,No phone service,DSL,Credit card (automatic),Postpaid,2.21,454,1005.28,60.3,4109,1,No
2240-HSJQD,305,Male,18,South,38,Yes,Fiber optic,Mailed check,Postpaid,48.5,657,704.78,81.85,3141.7,5,No
1248-DYXUB,306,Male,54,South,52,Yes,No,Mailed check,Postpaid,47.48,877,1029.17,24.8,1229.1,1,No
0265-EDXBD,307,Male,26,East,32,Yes,Fiber optic,Electronic check,Prepaid,25.89,1193,1733.16,74.9,2303.35,4,Yes
4115-BNPJY,308,Male,34,South,29,No,DSL,Mailed check,Prepaid,5.14,739,1225.37,75.55,2054.4,2,No
3167-SNQPL,309,Male,26,North,38,Yes,Fiber optic,Electronic check,Postpaid,37.85,951,1419.84,101.15,3741.85,3,No
4091-TVOCN,310,Male,28,West,48,Yes,DSL,Credit card (automatic),Prepaid,24.85,1290,792.87,78.75,3682.45,2,No
1098-TDVUQ,311,Female,32,West,1,No,No,Bank transfer (automatic),Postpaid,15.47,105,1503.16,19.25,19.25,5,No
7277-OZCGZ,312,Female,41,North,22,No,Fiber optic,Electronic check,Postpaid,24.83,415,1366.57,89.05,1886.25,3,No
1557-EMYVT,313,Female,55,East,43,Yes,Fiber optic,Credit card (automatic),Postpaid,26.36,504,327.17,115.05,4895.1,2,No
2799-ARNLO,314,Female,52,East,5,No,Fiber optic,Electronic check,Postpaid,28.35,153,1188.02,69.35,341.6,3,No
7563-BIUPC,315,Male,47,West,5,No,Fiber optic,Electronic check,Postpaid,22.34,126,587.81,80.6,415.55,1,Yes
5027-YOCXN,316,Male,48,South,51,Yes,Fiber optic,Credit card (automatic),Prepaid,30.48,279,1627.78,110.05,5686.4,4,No
3973-SKMLN,317,Male,22,East,71,No,No,Credit card (automatic),Postpaid,45.98,1331,909.28,19.9,1355.1,2,No
2321-OMBXY,318,Female,61,East,38,No,DSL,Credit card (automatic),Prepaid,18.43,1337,1989.9,80.3,3058.65,5,Yes
2840-XANRC,319,Male,31,North,24,No,Fiber optic,Electronic check,Prepaid,36.42,380,275.75,93.15,2231.05,1,Yes
6745-JEFZB,320,Male,28,North,35,Yes,Fiber optic,Credit card (automatic),Postpaid,44.78,1255,1582.66,91.5,3236.35,2,No
5020-ZSTTY,321,Female,26,South,54,Yes,DSL,Bank transfer (automatic),Postpaid,23.07,942,1380.03,82.45,4350.1,1,Yes
9880-TDQAC,322,Female,51,East,72,No phone service,DSL,Electronic check,Prepaid,22.45,737,1558.25,60,4264,5,No
8705-WZCYL,323,Male,29,East,1,No,DSL,Electronic check,Prepaid,30.3,76,684.31,44.8,44.8,2,No
7102-JJVTX,324,Female,52,North,9,No,DSL,Mailed check,Prepaid,29.77,1349,1034.9,48.6,422.3,5,No
8626-PTQGE,325,Male,52,East,69,No phone service,DSL,Bank transfer (automatic),Postpaid,40.43,348,1613.37,60.05,4176.7,3,No
4983-CLMLV,326,Female,18,West,52,Yes,Fiber optic,Credit card (automatic),Prepaid,24.09,1006,541.83,102.7,5138.1,5,No
5701-YVSVF,327,Female,57,North,11,No,Fiber optic,Electronic check,Postpaid,49.81,848,529.46,82.9,880.05,3,No
5804-LEPIM,328,Female,39,South,2,No,Fiber optic,Electronic check,Postpaid,3.44,1164,1147,70.35,139.05,2,Yes
5697-GOMBF,329,Female,46,North,28,No phone service,DSL,Electronic check,Postpaid,0.66,529,1094.77,35.9,973.65,3,No
2739-CACDQ,330,Female,25,East,17,Yes,Fiber optic,Credit card (automatic),Prepaid,32.19,622,636.3,82.65,1470.05,2,No
9385-EHGDO,331,Female,28,South,35,No,No,Mailed check,Postpaid,15.27,507,666.34,19.85,739.35,2,No
9498-FIMXL,332,Female,58,North,8,No,No,Mailed check,Postpaid,12.4,414,627.91,19.2,161.95,4,No
2379-GYFLQ,333,Male,54,West,46,Yes,Fiber optic,Credit card (automatic),Postpaid,15.94,908,1565.87,94.9,4422.95,2,No
0122-OAHPZ,334,Female,31,West,7,Yes,Fiber optic,Electronic check,Postpaid,13.17,400,1338.61,73.85,511.25,3,Yes
2868-SNELZ,335,Female,47,North,2,Yes,Fiber optic,Mailed check,Postpaid,2.02,1473,1681.59,80.6,155.8,4,Yes
4322-RCYMT,336,Male,52,West,68,Yes,DSL,Bank transfer (automatic),Prepaid,48.59,302,1953.4,75.8,5293.95,4,Yes
6680-NENYN,337,Female,38,West,43,Yes,Fiber optic,Electronic check,Postpaid,11.43,830,1000.91,104.6,4759.85,2,Yes
2088-IEBAU,338,Female,54,West,68,Yes,DSL,Electronic check,Postpaid,36.83,852,226.72,88.15,6148.45,5,No
7982-VCELR,339,Female,22,South,36,No,Fiber optic,Credit card (automatic),Prepaid,38.25,1061,191.38,94.8,3565.65,5,No
1343-EHPYB,340,Male,36,West,63,Yes,Fiber optic,Electronic check,Postpaid,46.5,508,661.76,103.4,6603,4,Yes
6035-BXTTY,341,Female,31,West,32,No,DSL,Bank transfer (automatic),Prepaid,2.01,966,1871.83,54.65,1830.1,2,No
6885-PKOAM,342,Female,43,West,71,Yes,DSL,Credit card (automatic),Postpaid,43.67,548,1094.1,85.75,6223.8,5,No
7520-HQWJU,343,Female,21,South,66,Yes,DSL,Bank transfer (automatic),Prepaid,26.6,999,616.39,67.45,4508.65,2,No
9639-BUJXT,344,Male,42,North,63,No,No,Mailed check,Prepaid,31.81,557,858.42,20.5,1328.15,2,No
5924-SNGKP,345,Female,62,East,41,No,No,Credit card (automatic),Postpaid,32.4,1377,1237.33,20.25,865,4,No
0021-IKXGC,346,Female,59,West,1,Yes,Fiber optic,Electronic check,Postpaid,41.08,550,1340.6,72.1,72.1,4,No
2034-GDRCN,347,Female,42,North,2,No,Fiber optic,Electronic check,Postpaid,17,852,392.45,90.4,168.2,1,Yes
8966-SNIZF,348,Female,35,West,70,No,No,Bank transfer (automatic),Prepaid,36.79,647,1956.36,19.45,1303.5,5,No
6243-OZGFH,349,Female,57,South,23,No phone service,DSL,Electronic check,Prepaid,26.66,215,1135.07,44.95,996.85,5,No
4654-DLAMQ,350,Female,25,North,64,No,Fiber optic,Bank transfer (automatic),Prepaid,39.77,1488,357.81,97,6430.9,5,No
0513-RBGPE,351,Male,56,South,37,Yes,DSL,Credit card (automatic),Postpaid,49.53,511,1797.91,62.8,2278.75,3,No
5160-UXJED,352,Male,57,West,17,No,DSL,Mailed check,Prepaid,10.43,969,241.81,44.6,681.4,2,No
4115-NZRKS,353,Female,31,West,7,No,Fiber optic,Electronic check,Prepaid,49.74,163,1824.7,89.15,574.35,4,No
0219-YTZUE,354,Male,49,South,4,Yes,Fiber optic,Bank transfer (automatic),Postpaid,4.95,1041,1993.47,84.8,371.9,5,Yes
0623-IIHUG,355,Female,55,East,21,No phone service,DSL,Electronic check,Prepaid,0.61,1429,1430.82,41.9,840.1,1,Yes
4572-DVCGN,356,Female,50,South,10,No,Fiber optic,Bank transfer (automatic),Prepaid,2.69,256,1563.85,80.25,846,5,Yes
3351-NGXYI,357,Female,40,West,16,Yes,DSL,Electronic check,Postpaid,17.42,1308,740.88,54.1,889,2,No
8984-EYLLL,358,Male,32,South,64,Yes,Fiber optic,Electronic check,Prepaid,31.83,1428,1889,105.25,6823.4,2,No
9057-MSWCO,359,Male,50,East,27,No phone service,DSL,Credit card (automatic),Postpaid,3.92,564,1106.46,30.75,805.1,4,Yes
9833-TGFHX,360,Male,42,South,42,Yes,Fiber optic,Electronic check,Postpaid,0.78,1281,1491.54,97.1,4016.75,3,No
9294-TDIPC,361,Male,34,East,5,No,No,Mailed check,Postpaid,46.89,758,1855.8,20.2,83.75,4,No
5229-DTFYB,362,Female,50,East,41,No,Fiber optic,Bank transfer (automatic),Postpaid,41.19,1198,1952.84,98.8,3959.15,5,No
0104-PPXDV,363,Male,64,South,58,No,DSL,Credit card (automatic),Postpaid,40.55,187,1683.09,50.3,2878.55,1,No
5176-LMJXE,364,Female,19,South,47,No,No,Mailed check,Prepaid,44.28,388,675.73,20.55,945.7,4,No
3583-KRKMD,365,Male,31,North,18,No,Fiber optic,Bank transfer (automatic),Prepaid,35.15,586,1936.44,75.9,1373.05,3,No
1010-DIAUQ,366,Male,57,West,5,No,Fiber optic,Bank transfer (automatic),Postpaid,5.67,117,1293.43,96.5,492.55,4,Yes
9069-LGEUL,367,Male,57,East,23,No,DSL,Bank transfer (automatic),Postpaid,20.26,432,1868.22,59.95,1406,2,No
7302-ZHMHP,368,Female,56,North,1,No,No,Mailed check,Prepaid,36.3,68,1384.6,19.15,19.15,5,No
9571-EDEBV,369,Male,23,South,71,Yes,Fiber optic,Credit card (automatic),Postpaid,14.38,732,683.75,98.65,6962.85,5,No
3520-FJGCV,370,Male,23,West,72,Yes,Fiber optic,Credit card (automatic),Postpaid,34.53,123,803.05,112.6,8126.65,5,No
6563-VRERX,371,Male,20,North,33,No,No,Mailed check,Postpaid,1.71,622,1145.9,20.6,690.25,5,No
0259-GBZSH,372,Male,24,East,2,Yes,Fiber optic,Electronic check,Prepaid,15.65,988,1601.03,85.65,181.5,5,Yes
6122-EFVKN,373,Male,25,North,24,No phone service,DSL,Mailed check,Prepaid,27.68,1349,704.17,35.75,830.8,5,No
2805-EDJPQ,374,Female,59,East,56,Yes,Fiber optic,Credit card (automatic),Postpaid,31.79,1121,1201.49,99.75,5608.4,1,No
6862-CQUMB,375,Male,32,South,37,No,Fiber optic,Credit card (automatic),Postpaid,29.06,260,756.69,96.1,3646.8,3,No
7156-MXBJE,376,Female,64,West,43,Yes,DSL,Credit card (automatic),Prepaid,35.04,904,1649.96,85.1,3662.25,5,No
6158-HDPXZ,377,Male,46,West,1,No phone service,DSL,Mailed check,Prepaid,0.8,700,986.78,25.35,25.35,3,No
9601-BRXPO,378,Female,50,West,25,Yes,Fiber optic,Bank transfer (automatic),Postpaid,5.5,1043,245.77,104.95,2566.5,5,Yes
2863-IMQDR,379,Female,47,South,61,Yes,DSL,Electronic check,Postpaid,43.51,744,415.5,89.65,5308.7,4,No
5686-CMAWK,380,Male,56,East,17,Yes,Fiber optic,Electronic check,Prepaid,34.25,589,216.1,86.75,1410.25,5,No
5651-CRHKQ,381,Female,44,South,41,No,Fiber optic,Bank transfer (automatic),Prepaid,6.09,1264,1048.68,86.2,3339.05,2,No
6905-NIQIN,382,Male,53,West,1,No,DSL,Mailed check,Prepaid,42.18,1388,302.04,50.65,50.65,1,Yes
8204-YJCLA,383,Male,46,South,72,No phone service,DSL,Bank transfer (automatic),Postpaid,12.49,950,316.87,64.8,4732.35,4,No
5167-ZFFMM,384,Male,55,South,1,Yes,Fiber optic,Credit card (automatic),Prepaid,24.17,829,1887.99,90.85,90.85,4,Yes
6583-SZVGP,385,Male,50,South,48,Yes,Fiber optic,Bank transfer (automatic),Postpaid,7.69,1186,1758.04,108.1,5067.45,2,No
4895-TMWIR,386,Male,54,East,11,No,No,Mailed check,Prepaid,35.65,219,958.96,19.95,214.75,5,Yes
0533-BNWKF,387,Female,44,North,55,Yes,Fiber optic,Electronic check,Prepaid,33.51,1087,1973.03,85.45,4874.7,1,Yes
1708-PBBOA,388,Female,50,North,42,No phone service,DSL,Electronic check,Prepaid,10.95,337,100.35,54.75,2348.45,4,No
8782-LKFPK,389,Male,21,South,44,Yes,Fiber optic,Mailed check,Prepaid,43.24,238,1266.56,90.4,4063,1,No
5522-JBWMO,390,Male,39,North,1,No,DSL,Electronic check,Postpaid,20.36,963,1271.21,44,44,4,No
3597-MVHJT,391,Female,19,North,27,Yes,Fiber optic,Bank transfer (automatic),Postpaid,14.98,1228,969.14,95.6,2595.25,5,No
9774-NRNAU,392,Male,27,South,27,Yes,DSL,Bank transfer (automatic),Prepaid,8.04,743,854.2,84.8,2309.55,4,No
0224-RLWWD,393,Female,22,South,2,No,DSL,Electronic check,Postpaid,13.68,937,965.23,44.3,89.3,4,No
9967-ATRFS,394,Female,27,West,19,No,No,Mailed check,Prepaid,1.59,520,888.42,19.9,367.55,3,No
3951-NJCVI,395,Female,50,North,42,Yes,Fiber optic,Electronic check,Prepaid,29.37,1148,1487.94,95.05,3944.5,5,No
2977-CEBSX,396,Female,55,East,66,Yes,DSL,Credit card (automatic),Prepaid,42.19,326,357.18,90.05,5965.95,2,No
0177-PXBAT,397,Male,30,South,33,Yes,Fiber optic,Bank transfer (automatic),Prepaid,27.67,989,475.51,109.9,3694.7,2,No
6599-CEBNN,398,Female,48,West,34,No,Fiber optic,Credit card (automatic),Postpaid,11.35,1416,442.98,73.95,2524.45,5,Yes
2519-ERQOJ,399,Male,64,East,33,No phone service,DSL,Electronic check,Prepaid,2.17,1498,598.69,54.6,1803.7,2,No
5876-QMYLD,400,Female,53,North,23,No,No,Mailed check,Prepaid,11.12,620,1097.99,20.05,415.1,5,No
2277-AXSDC,401,Female,62,West,32,No,No,Bank transfer (automatic),Postpaid,21.1,906,311.3,19.75,624.15,2,No
9442-JTWDL,402,Female,41,South,11,No,No,Credit card (automatic),Prepaid,38.1,1050,1749.52,20.05,237.7,3,No
0979-PHULV,403,Male,32,East,69,Yes,Fiber optic,Credit card (automatic),Prepaid,9.8,1255,664.99,99.45,7007.6,2,Yes
3067-SVMTC,404,Female,46,South,68,No,DSL,Bank transfer (automatic),Prepaid,36.13,507,408.82,55.9,3848.8,4,No
5495-GPSRW,405,Male,25,North,20,No,No,Mailed check,Postpaid,43.41,967,1383.68,19.7,419.4,5,No
7606-BPHHN,406,Male,22,East,72,No,No,Credit card (automatic),Prepaid,22.97,882,172.36,19.8,1468.75,1,No
4742-DRORA,407,Male,46,North,60,Yes,Fiber optic,Bank transfer (automatic),Postpaid,41.16,1137,1277.94,95.4,5812,1,No
0111-KLBQG,408,Male,64,North,32,No,Fiber optic,Mailed check,Prepaid,27.96,888,1426.58,93.95,2861.45,5,No
4800-VHZKI,409,Female,21,West,1,No,No,Mailed check,Prepaid,32.04,1333,508.34,19.9,19.9,3,Yes
7989-CHGTL,410,Male,29,South,1,No,No,Mailed check,Postpaid,26.55,242,179.73,19.6,19.6,2,Yes
0334-GDDSO,411,Male,62,East,3,Yes,Fiber optic,Electronic check,Prepaid,23.43,665,790.93,81.35,233.7,3,Yes
4163-NCJAK,412,Female,19,North,46,Yes,No,Bank transfer (automatic),Prepaid,12.12,455,287.33,24.45,1066.15,1,No
5233-AOZUF,413,Female,44,North,29,Yes,Fiber optic,Electronic check,Postpaid,15.51,992,321.31,74.95,2149.05,5,No
5973-EJGDP,414,Male,48,East,51,Yes,Fiber optic,Electronic check,Postpaid,14.85,770,583.1,87.35,4473,5,No
1996-DBMUS,415,Female,53,North,48,No,Fiber optic,Bank transfer (automatic),Postpaid,28.38,142,661.39,70.65,3545.05,3,No
7916-VCCPB,416,Female,53,West,16,No,Fiber optic,Bank transfer (automatic),Postpaid,6.44,479,1106.94,73.25,1195.75,3,No
4686-GEFRM,417,Male,43,West,70,Yes,Fiber optic,Bank transfer (automatic),Postpaid,45.88,703,1388.94,98.7,6858.9,2,No
5249-QYHEX,418,Female,60,West,40,Yes,No,Mailed check,Prepaid,36.17,1477,1226.26,24.8,1024.7,4,No
0578-SKVMF,419,Female,44,West,22,No,Fiber optic,Electronic check,Postpaid,20.37,483,381.88,83.3,1845.9,4,Yes
5564-NEMQO,420,Female,22,North,1,No,Fiber optic,Bank transfer (automatic),Prepaid,8.35,1185,426.96,75.3,75.3,2,Yes
2233-FAGXV,421,Female,37,East,5,Yes,No,Mailed check,Prepaid,44.16,424,1769.66,24.3,132.25,4,No
5605-IYGFG,422,Female,28,East,7,No,Fiber optic,Bank transfer (automatic),Prepaid,41.28,1132,1160.87,69.85,515.45,1,No
